"id";"type";"amount";"productid";"consumptionid";"creationdate";"creationuser";"updatedate";"updateuser"
9;1;2,0;46;6;17/03/2013 09:38:42;"HANS";17/03/2013 17:28:08;"HANS"
10;1;3,0;47;7;17/03/2013 09:52:12;"INGE";17/03/2013 21:33:52;"INGE"
11;1;1,0;16;7;17/03/2013 09:59:13;"INGE";17/03/2013 21:33:52;"INGE"
13;3;60,0;48;7;17/03/2013 13:39:32;"INGE";17/03/2013 21:33:52;"INGE"
14;3;30,0;52;7;17/03/2013 13:42:39;"INGE";17/03/2013 21:33:52;"INGE"
15;3;1,0;51;7;17/03/2013 13:44:06;"INGE";17/03/2013 21:33:52;"INGE"
16;3;120,0;48;6;17/03/2013 13:51:27;"HANS";17/03/2013 17:28:08;"HANS"
17;3;1,0;50;6;17/03/2013 13:51:37;"HANS";17/03/2013 17:28:08;"HANS"
18;3;1,0;22;6;17/03/2013 13:51:51;"HANS";17/03/2013 17:28:08;"HANS"
19;3;30,0;52;6;17/03/2013 13:52:09;"HANS";17/03/2013 17:28:08;"HANS"
20;4;0,5;47;6;17/03/2013 17:23:56;"HANS";17/03/2013 17:28:08;"HANS"
21;4;250,0;53;6;17/03/2013 17:27:24;"HANS";17/03/2013 17:28:08;"HANS"
24;1;30,0;54;9;18/03/2013 08:22:03;"HANS";18/03/2013 22:38:31;"HANS"
25;1;0,5;13;9;18/03/2013 08:22:30;"HANS";18/03/2013 22:38:31;"HANS"
26;1;1,0;16;8;18/03/2013 08:32:43;"INGE";18/03/2013 22:08:41;"INGE"
27;1;30,0;40;8;18/03/2013 08:33:45;"INGE";18/03/2013 22:08:41;"INGE"
28;1;1,0;55;8;18/03/2013 08:37:06;"INGE";18/03/2013 22:08:41;"INGE"
29;2;2,0;58;8;18/03/2013 12:31:14;"INGE";18/03/2013 22:08:41;"INGE"
30;2;1,0;59;8;18/03/2013 12:32:23;"INGE";18/03/2013 22:08:41;"INGE"
31;3;3,0;13;8;18/03/2013 12:32:36;"INGE";18/03/2013 22:08:41;"INGE"
32;3;30,0;52;8;18/03/2013 12:33:19;"INGE";18/03/2013 22:08:41;"INGE"
34;3;2,0;60;8;18/03/2013 12:36:03;"INGE";18/03/2013 22:08:41;"INGE"
35;3;2,0;61;8;18/03/2013 12:39:22;"INGE";18/03/2013 22:08:41;"INGE"
36;3;1,0;62;8;18/03/2013 12:44:15;"INGE";18/03/2013 22:08:41;"INGE"
37;3;5,0;13;9;18/03/2013 12:45:44;"HANS";18/03/2013 22:38:31;"HANS"
38;3;2,0;22;9;18/03/2013 12:46:00;"HANS";18/03/2013 22:38:31;"HANS"
39;3;1,0;60;9;18/03/2013 12:46:47;"HANS";18/03/2013 22:38:31;"HANS"
40;3;1,0;59;9;18/03/2013 12:47:07;"HANS";18/03/2013 22:38:31;"HANS"
41;4;1,0;51;8;18/03/2013 19:01:24;"INGE";18/03/2013 22:08:41;"INGE"
42;5;150,0;63;8;18/03/2013 19:05:43;"INGE";18/03/2013 22:08:41;"INGE"
43;5;35,0;64;8;18/03/2013 19:09:57;"INGE";18/03/2013 22:08:41;"INGE"
44;4;1,0;65;9;18/03/2013 19:15:10;"HANS";18/03/2013 22:38:31;"HANS"
45;5;150,0;63;9;18/03/2013 19:15:28;"HANS";18/03/2013 22:38:31;"HANS"
46;5;20,0;64;9;18/03/2013 19:15:55;"HANS";18/03/2013 22:38:31;"HANS"
47;5;100,0;66;9;18/03/2013 19:18:07;"HANS";18/03/2013 22:38:31;"HANS"
48;5;1,0;59;9;18/03/2013 19:19:04;"HANS";18/03/2013 22:38:31;"HANS"
49;1;1,0;60;9;18/03/2013 19:31:06;"HANS";18/03/2013 22:38:31;"HANS"
50;6;40,0;54;9;18/03/2013 20:34:30;"HANS";18/03/2013 22:38:31;"HANS"
51;6;100,0;57;9;18/03/2013 20:34:46;"HANS";18/03/2013 22:38:31;"HANS"
52;6;1,0;59;8;18/03/2013 22:08:41;"INGE";18/03/2013 22:08:41;"INGE"
54;1;80,0;57;9;18/03/2013 22:38:31;"HANS";18/03/2013 22:38:31;"HANS"
55;1;100,0;57;10;19/03/2013 08:22:02;"HANS";19/03/2013 21:03:58;"HANS"
56;1;40,0;56;10;19/03/2013 08:22:15;"HANS";19/03/2013 21:03:58;"HANS"
57;1;1,0;55;10;19/03/2013 08:22:24;"HANS";19/03/2013 21:03:58;"HANS"
58;1;1,0;13;10;19/03/2013 08:22:36;"HANS";19/03/2013 21:03:58;"HANS"
59;1;1,0;60;10;19/03/2013 08:22:56;"HANS";19/03/2013 21:03:58;"HANS"
60;1;30,0;40;11;19/03/2013 08:23:46;"INGE";20/03/2013 08:32:52;"INGE"
61;1;1,0;59;11;19/03/2013 08:23:56;"INGE";20/03/2013 08:32:52;"INGE"
62;1;1,0;16;11;19/03/2013 08:24:09;"INGE";20/03/2013 08:32:52;"INGE"
63;1;1,0;55;11;19/03/2013 08:24:28;"INGE";20/03/2013 08:32:52;"INGE"
64;2;5,0;73;11;19/03/2013 12:49:31;"INGE";20/03/2013 08:32:52;"INGE"
65;3;2,0;13;11;19/03/2013 12:50:23;"INGE";20/03/2013 08:32:52;"INGE"
66;3;70,0;66;11;19/03/2013 12:51:16;"INGE";20/03/2013 08:32:52;"INGE"
67;3;5,0;13;10;19/03/2013 12:52:20;"HANS";19/03/2013 21:03:58;"HANS"
68;3;2,0;22;10;19/03/2013 12:52:36;"HANS";19/03/2013 21:03:58;"HANS"
69;3;1,0;50;10;19/03/2013 12:52:49;"HANS";19/03/2013 21:03:58;"HANS"
70;3;1,0;74;11;19/03/2013 12:54:29;"INGE";20/03/2013 08:32:52;"INGE"
71;3;2,0;74;10;19/03/2013 12:54:31;"HANS";19/03/2013 21:03:58;"HANS"
72;3;40,0;75;11;19/03/2013 12:56:35;"INGE";20/03/2013 08:32:52;"INGE"
73;3;4,0;60;11;19/03/2013 13:03:32;"INGE";20/03/2013 08:32:52;"INGE"
74;3;2,0;60;10;19/03/2013 13:09:07;"HANS";19/03/2013 21:03:58;"HANS"
75;3;0,5;76;11;19/03/2013 13:10:17;"INGE";20/03/2013 08:32:52;"INGE"
76;4;1,0;65;10;19/03/2013 13:12:03;"HANS";19/03/2013 21:03:58;"HANS"
77;5;2,0;79;10;19/03/2013 13:26:18;"HANS";19/03/2013 21:03:58;"HANS"
78;5;1,0;79;11;19/03/2013 18:48:12;"INGE";20/03/2013 08:32:52;"INGE"
79;5;0,5;79;11;19/03/2013 20:52:11;"INGE";20/03/2013 08:32:52;"INGE"
80;5;1,0;13;10;19/03/2013 21:03:57;"HANS";19/03/2013 21:03:57;"HANS"
81;6;0,5;65;11;20/03/2013 08:32:52;"INGE";20/03/2013 08:32:52;"INGE"
82;1;1,0;16;12;20/03/2013 08:35:31;"INGE";21/03/2013 08:30:57;"INGE"
83;1;40,0;82;12;20/03/2013 08:35:43;"INGE";21/03/2013 08:30:57;"INGE"
84;1;110,0;57;13;20/03/2013 08:46:05;"HANS";20/03/2013 20:52:07;"HANS"
85;1;40,0;54;13;20/03/2013 08:46:35;"HANS";20/03/2013 20:52:07;"HANS"
86;2;16,0;83;12;20/03/2013 09:46:10;"INGE";21/03/2013 08:30:57;"INGE"
87;3;70,0;48;12;20/03/2013 12:47:23;"INGE";21/03/2013 08:30:57;"INGE"
88;3;1,0;12;12;20/03/2013 12:47:47;"INGE";21/03/2013 08:30:57;"INGE"
89;3;130,0;48;13;20/03/2013 12:51:58;"HANS";20/03/2013 20:52:07;"HANS"
90;3;30,0;66;13;20/03/2013 12:53:08;"HANS";20/03/2013 20:52:07;"HANS"
91;3;0,5;22;13;20/03/2013 12:55:14;"HANS";20/03/2013 20:52:07;"HANS"
92;3;1,0;50;13;20/03/2013 12:55:27;"HANS";20/03/2013 20:52:07;"HANS"
93;3;1,0;76;12;20/03/2013 13:26:54;"INGE";21/03/2013 08:30:57;"INGE"
94;4;10,0;84;12;20/03/2013 17:46:33;"INGE";21/03/2013 08:30:57;"INGE"
95;4;1,0;85;12;20/03/2013 17:48:04;"INGE";21/03/2013 08:30:57;"INGE"
96;4;1,0;86;12;20/03/2013 17:49:22;"INGE";21/03/2013 08:30:57;"INGE"
97;4;3,0;87;13;20/03/2013 17:51:38;"HANS";20/03/2013 20:52:07;"HANS"
98;5;1,0;91;12;20/03/2013 20:32:20;"INGE";21/03/2013 08:30:57;"INGE"
99;5;100,0;97;12;20/03/2013 20:36:12;"INGE";21/03/2013 08:30:57;"INGE"
100;5;1,0;45;12;20/03/2013 20:36:29;"INGE";21/03/2013 08:30:57;"INGE"
101;6;1,0;88;12;20/03/2013 20:37:09;"INGE";21/03/2013 08:30:57;"INGE"
102;5;1,0;91;13;20/03/2013 20:51:12;"HANS";20/03/2013 20:52:07;"HANS"
103;5;50,0;48;13;20/03/2013 20:51:30;"HANS";20/03/2013 20:52:07;"HANS"
104;5;25,0;64;13;20/03/2013 20:51:47;"HANS";20/03/2013 20:52:07;"HANS"
105;1;40,0;54;14;21/03/2013 08:29:48;"HANS";21/03/2013 22:40:51;"HANS"
106;1;100,0;57;14;21/03/2013 08:29:58;"HANS";21/03/2013 22:40:51;"HANS"
107;1;40,0;82;15;21/03/2013 08:30:38;"INGE";21/03/2013 22:43:15;"INGE"
108;6;10,0;82;12;21/03/2013 08:30:57;"INGE";21/03/2013 08:30:57;"INGE"
110;4;1,0;65;14;21/03/2013 17:42:59;"HANS";21/03/2013 22:40:51;"HANS"
111;3;100,0;98;14;21/03/2013 19:07:25;"HANS";21/03/2013 22:40:51;"HANS"
112;3;100,0;99;14;21/03/2013 19:09:13;"HANS";21/03/2013 22:40:51;"HANS"
113;3;50,0;100;14;21/03/2013 19:09:45;"HANS";21/03/2013 22:40:51;"HANS"
114;3;120,0;101;14;21/03/2013 19:10:09;"HANS";21/03/2013 22:40:51;"HANS"
115;5;4,0;13;14;21/03/2013 19:13:10;"HANS";21/03/2013 22:40:51;"HANS"
116;5;2,0;22;14;21/03/2013 19:13:22;"HANS";21/03/2013 22:40:51;"HANS"
117;5;1,0;50;14;21/03/2013 19:13:43;"HANS";21/03/2013 22:40:51;"HANS"
118;5;300,0;102;14;21/03/2013 19:16:10;"HANS";21/03/2013 22:40:51;"HANS"
119;3;120,0;67;15;21/03/2013 19:34:57;"INGE";21/03/2013 22:43:15;"INGE"
120;3;80,0;66;15;21/03/2013 19:35:25;"INGE";21/03/2013 22:43:15;"INGE"
121;3;80,0;103;15;21/03/2013 19:37:33;"INGE";21/03/2013 22:43:15;"INGE"
122;4;4,0;89;15;21/03/2013 19:38:03;"INGE";21/03/2013 22:43:15;"INGE"
123;5;200,0;102;15;21/03/2013 19:39:02;"INGE";21/03/2013 22:43:15;"INGE"
124;5;2,0;13;15;21/03/2013 19:39:36;"INGE";21/03/2013 22:43:15;"INGE"
126;6;1,0;13;14;21/03/2013 22:40:51;"HANS";21/03/2013 22:40:51;"HANS"
127;6;1,0;88;15;21/03/2013 22:43:05;"INGE";21/03/2013 22:43:15;"INGE"
128;1;30,0;56;16;22/03/2013 08:16:34;"HANS";22/03/2013 21:22:04;"HANS"
129;1;100,0;57;16;22/03/2013 08:16:52;"HANS";22/03/2013 21:22:04;"HANS"
130;1;100,0;104;17;22/03/2013 08:26:03;"INGE";22/03/2013 21:19:58;"INGE"
131;2;1,0;105;17;22/03/2013 12:07:48;"INGE";22/03/2013 21:19:58;"INGE"
132;2;1,0;105;16;22/03/2013 12:08:31;"HANS";22/03/2013 21:22:04;"HANS"
133;3;2,0;13;16;22/03/2013 12:38:17;"HANS";22/03/2013 21:22:04;"HANS"
134;3;2,0;60;16;22/03/2013 12:38:39;"HANS";22/03/2013 21:22:04;"HANS"
135;4;2,0;13;16;22/03/2013 15:29:52;"HANS";22/03/2013 21:22:04;"HANS"
136;4;2,0;60;16;22/03/2013 15:30:00;"HANS";22/03/2013 21:22:04;"HANS"
137;3;31,0;83;17;22/03/2013 16:58:48;"INGE";22/03/2013 21:19:58;"INGE"
138;5;2,0;110;16;22/03/2013 21:09:41;"HANS";22/03/2013 21:22:04;"HANS"
139;5;200,0;39;16;22/03/2013 21:11:13;"HANS";22/03/2013 21:22:04;"HANS"
140;6;2,0;59;16;22/03/2013 21:11:52;"HANS";22/03/2013 21:22:04;"HANS"
141;1;2,0;46;18;22/03/2013 21:13:29;"HANS";23/03/2013 22:00:17;"HANS"
142;1;2,0;46;19;22/03/2013 21:13:51;"HANS";24/03/2013 20:35:27;"HANS"
143;5;2,0;110;17;22/03/2013 21:16:33;"INGE";22/03/2013 21:19:58;"INGE"
144;5;100,0;67;17;22/03/2013 21:16:52;"INGE";22/03/2013 21:19:58;"INGE"
145;5;30,0;116;17;22/03/2013 21:19:58;"INGE";22/03/2013 21:19:58;"INGE"
146;6;30,0;116;16;22/03/2013 21:21:04;"HANS";22/03/2013 21:22:04;"HANS"
147;5;400,0;70;16;22/03/2013 21:22:04;"HANS";22/03/2013 21:22:04;"HANS"
148;1;2,0;47;20;23/03/2013 08:13:03;"INGE";23/03/2013 21:45:54;"INGE"
151;3;200,0;102;20;23/03/2013 08:14:36;"INGE";23/03/2013 21:45:54;"INGE"
152;3;60,0;48;20;23/03/2013 08:14:54;"INGE";23/03/2013 21:45:54;"INGE"
153;3;30,0;52;20;23/03/2013 08:15:12;"INGE";23/03/2013 21:45:54;"INGE"
155;2;1,0;85;20;23/03/2013 12:04:34;"INGE";23/03/2013 21:45:54;"INGE"
157;3;130,0;48;18;23/03/2013 13:27:59;"HANS";23/03/2013 22:00:17;"HANS"
158;3;1,0;22;18;23/03/2013 13:28:23;"HANS";23/03/2013 22:00:17;"HANS"
159;3;1,0;50;18;23/03/2013 13:28:31;"HANS";23/03/2013 22:00:17;"HANS"
160;3;30,0;52;18;23/03/2013 13:28:47;"HANS";23/03/2013 22:00:17;"HANS"
161;3;1,0;60;18;23/03/2013 13:32:14;"HANS";23/03/2013 22:00:17;"HANS"
162;3;1,0;59;20;23/03/2013 13:33:36;"INGE";23/03/2013 21:45:54;"INGE"
163;3;1,0;88;20;23/03/2013 13:33:58;"INGE";23/03/2013 21:45:54;"INGE"
164;4;6,0;117;20;23/03/2013 15:25:18;"INGE";23/03/2013 21:45:54;"INGE"
165;4;30,0;83;18;23/03/2013 18:00:35;"HANS";23/03/2013 22:00:17;"HANS"
166;2;2,0;118;18;23/03/2013 18:36:23;"HANS";23/03/2013 22:00:17;"HANS"
167;5;300,0;39;18;23/03/2013 18:46:12;"HANS";23/03/2013 22:00:17;"HANS"
168;5;30,0;94;18;23/03/2013 18:46:32;"HANS";23/03/2013 22:00:17;"HANS"
169;4;15,0;83;20;23/03/2013 21:43:56;"INGE";23/03/2013 21:45:54;"INGE"
172;5;200,0;39;20;23/03/2013 21:45:04;"INGE";23/03/2013 21:45:54;"INGE"
173;5;50,0;94;20;23/03/2013 21:45:24;"INGE";23/03/2013 21:45:54;"INGE"
174;1;2,0;47;21;23/03/2013 21:46:34;"INGE";24/03/2013 20:24:44;"INGE"
176;3;2,5;13;21;23/03/2013 21:47:12;"INGE";24/03/2013 20:24:44;"INGE"
177;3;18,0;52;21;23/03/2013 21:47:34;"INGE";24/03/2013 20:24:44;"INGE"
178;3;100,0;102;21;23/03/2013 21:47:45;"INGE";24/03/2013 20:24:44;"INGE"
179;4;31,0;83;21;23/03/2013 21:48:19;"INGE";24/03/2013 20:24:44;"INGE"
180;3;150,0;48;19;24/03/2013 13:49:41;"HANS";24/03/2013 20:35:27;"HANS"
181;3;3,0;60;19;24/03/2013 13:49:52;"HANS";24/03/2013 20:35:27;"HANS"
183;3;50,0;66;19;24/03/2013 13:50:56;"HANS";24/03/2013 20:35:27;"HANS"
184;3;3,0;88;21;24/03/2013 13:53:27;"INGE";24/03/2013 20:24:44;"INGE"
186;5;1,0;121;19;24/03/2013 16:39:27;"HANS";24/03/2013 20:35:27;"HANS"
187;4;5,0;51;21;24/03/2013 20:21:30;"INGE";24/03/2013 20:24:44;"INGE"
188;5;1,0;121;21;24/03/2013 20:22:54;"INGE";24/03/2013 20:24:44;"INGE"
189;5;18,0;123;21;24/03/2013 20:24:44;"INGE";24/03/2013 20:24:44;"INGE"
190;5;30,0;123;19;24/03/2013 20:25:18;"HANS";24/03/2013 20:35:27;"HANS"
191;1;30,0;56;22;25/03/2013 08:20:03;"HANS";25/03/2013 23:27:36;"HANS"
192;1;70,0;57;22;25/03/2013 08:20:11;"HANS";25/03/2013 23:27:36;"HANS"
193;1;1,0;13;22;25/03/2013 08:20:18;"HANS";25/03/2013 23:27:36;"HANS"
194;1;1,0;60;22;25/03/2013 08:20:25;"HANS";25/03/2013 23:27:36;"HANS"
195;2;3,0;59;22;25/03/2013 12:50:22;"HANS";25/03/2013 23:27:36;"HANS"
196;3;4,0;13;22;25/03/2013 12:58:32;"HANS";25/03/2013 23:27:36;"HANS"
197;3;30,0;66;22;25/03/2013 12:58:46;"HANS";25/03/2013 23:27:36;"HANS"
198;1;40,0;82;23;25/03/2013 13:29:08;"INGE";26/03/2013 09:39:37;"INGE"
199;1;1,0;16;23;25/03/2013 13:29:19;"INGE";26/03/2013 09:39:37;"INGE"
200;2;3,0;87;23;25/03/2013 13:29:35;"INGE";26/03/2013 09:39:37;"INGE"
201;2;1,0;16;23;25/03/2013 13:29:42;"INGE";26/03/2013 09:39:37;"INGE"
202;3;3,0;13;23;25/03/2013 13:29:55;"INGE";26/03/2013 09:39:37;"INGE"
203;3;1,0;22;23;25/03/2013 13:30:17;"INGE";26/03/2013 09:39:37;"INGE"
204;3;2,0;60;23;25/03/2013 13:30:30;"INGE";26/03/2013 09:39:37;"INGE"
205;3;1,0;16;23;25/03/2013 13:30:44;"INGE";26/03/2013 09:39:37;"INGE"
206;4;0,5;83;23;25/03/2013 18:36:04;"INGE";26/03/2013 09:39:37;"INGE"
207;5;3,0;125;22;25/03/2013 19:13:17;"HANS";25/03/2013 23:27:36;"HANS"
209;4;1,0;65;22;25/03/2013 19:14:16;"HANS";25/03/2013 23:27:36;"HANS"
210;4;1,0;59;22;25/03/2013 19:14:29;"HANS";25/03/2013 23:27:36;"HANS"
211;5;2,0;125;23;25/03/2013 20:52:22;"INGE";26/03/2013 09:39:37;"INGE"
212;5;100,0;63;23;25/03/2013 20:52:47;"INGE";26/03/2013 09:39:37;"INGE"
213;6;20,0;123;22;25/03/2013 23:27:36;"HANS";25/03/2013 23:27:36;"HANS"
214;1;2,0;13;24;26/03/2013 08:23:58;"HANS";26/03/2013 23:22:51;"HANS"
215;1;2,0;60;24;26/03/2013 08:24:04;"HANS";26/03/2013 23:22:51;"HANS"
216;1;30,0;56;24;26/03/2013 08:24:12;"HANS";26/03/2013 23:22:51;"HANS"
217;1;70,0;57;24;26/03/2013 08:24:22;"HANS";26/03/2013 23:22:51;"HANS"
218;6;1,0;88;23;26/03/2013 09:39:37;"INGE";26/03/2013 09:39:37;"INGE"
219;1;1,0;16;25;26/03/2013 09:39:53;"INGE";27/03/2013 13:36:58;"INGE"
220;1;40,0;82;25;26/03/2013 09:40:05;"INGE";27/03/2013 13:36:58;"INGE"
222;2;1,0;73;25;26/03/2013 09:43:20;"INGE";27/03/2013 13:36:58;"INGE"
223;3;3,0;13;25;26/03/2013 09:43:41;"INGE";27/03/2013 13:36:58;"INGE"
226;3;2,0;60;25;26/03/2013 09:46:48;"INGE";27/03/2013 13:36:58;"INGE"
227;4;1,0;85;25;26/03/2013 09:47:01;"INGE";27/03/2013 13:36:58;"INGE"
228;5;1,0;134;25;26/03/2013 10:01:24;"INGE";27/03/2013 13:36:58;"INGE"
230;2;1,0;85;25;26/03/2013 12:37:01;"INGE";27/03/2013 13:36:58;"INGE"
231;3;30,0;137;25;26/03/2013 12:41:32;"INGE";27/03/2013 13:36:58;"INGE"
232;3;1,0;16;25;26/03/2013 12:49:04;"INGE";27/03/2013 13:36:58;"INGE"
233;3;4,0;13;24;26/03/2013 17:46:23;"HANS";26/03/2013 23:22:51;"HANS"
234;3;1,0;22;24;26/03/2013 17:46:32;"HANS";26/03/2013 23:22:51;"HANS"
235;3;30,0;66;24;26/03/2013 17:46:43;"HANS";26/03/2013 23:22:51;"HANS"
236;2;2,0;59;24;26/03/2013 23:15:25;"HANS";26/03/2013 23:22:51;"HANS"
237;5;1,0;134;24;26/03/2013 23:15:48;"HANS";26/03/2013 23:22:51;"HANS"
238;6;2,0;13;24;26/03/2013 23:17:39;"HANS";26/03/2013 23:22:51;"HANS"
239;6;3,0;60;24;26/03/2013 23:17:56;"HANS";26/03/2013 23:22:51;"HANS"
240;1;1,0;13;26;27/03/2013 10:26:35;"HANS";27/03/2013 22:49:16;"HANS"
241;1;1,0;60;26;27/03/2013 10:26:42;"HANS";27/03/2013 22:49:16;"HANS"
242;2;1,0;59;26;27/03/2013 10:26:50;"HANS";27/03/2013 22:49:16;"HANS"
243;1;70,0;57;26;27/03/2013 10:27:54;"HANS";27/03/2013 22:49:16;"HANS"
